ebookNumber,Title,Author,Date,Language,Credits
011,The Declaration of Independence of the United States of America,Thomas Jefferson,Unknown Date,English,Unknown Credits
0110,The King James Version of the Bible,Unknown Author,Unknown Date,English,Unknown Credits
0111,Alice's Adventures in Wonderland,Lewis Carroll,Unknown Date,English,Arthur DiBianca and David Widger
0112,Through the Looking-Glass,Lewis Carroll,Unknown Date,English,David Widger
0113,The Hunting of the Snark: An Agony in Eight Fits,Lewis Carroll,Unknown Date,English,David Widger
0114,The 1990 CIA World Factbook,United States. Central Intelligence Agency,Unknown Date,English,Dr. Gregory B. Newby
0115,Moby-Dick; or, The Whale,Herman Melville,Unknown Date,English,Eugene F. Irey
0116,Peter Pan,J. M. Barrie,Unknown Date,English,Duncan Research
0117,The Book of Mormon,Jr. Joseph Smith,Unknown Date,English,David Widger
0118,The Federalist Papers,Alexander Hamilton,Unknown Date,English,Unknown Credits
0119,The Song of Hiawatha,Henry Wadsworth Longfellow,Unknown Date,English,Unknown Credits
012,The United States Bill of Rights,United States,Unknown Date,English,Unknown Credits
0120,Paradise Lost,John Milton,Unknown Date,English,Judy Boss
0121,Aesop's Fables,Aesop,Unknown Date,English,David Widger
0122,Roget's Thesaurus,Peter Mark Roget,Unknown Date,English,MICRA, Inc.
0123,Narrative of the Life of Frederick Douglass, an American Slave,Frederick Douglass,Unknown Date,English,An Anonymous Volunteer and David Widger
0124,O Pioneers!,Willa Cather,Unknown Date,English,Martin Robb and David Widger
0125,The 1991 CIA World Factbook,United States. Central Intelligence Agency,Unknown Date,English,Produced by Dr. Gregory B. Newby
0126,Paradise Lost,John Milton,Unknown Date,English,Dr. Joseph Raben
0127,Far from the Madding Crowd,Thomas Hardy,Unknown Date,English,Unknown Credits
0128,The Fables of Aesop,Aesop,Unknown Date,English,Unknown Credits
0129,The 1990 United States Census,United States. Bureau of the Census,Unknown Date,English,Unknown Credits
013,John F. Kennedy's Inaugural Address,John F. Kennedy,Unknown Date,English,Unknown Credits
0130,The Bible, King James Version, Complete,Unknown Author,Unknown Date,English,Produced by: David Widger, Derek Andrew, Bryan Taylor
0131,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,Unknown Date,English,An Anonymous Volunteer and David Widger
0132,Herland,Charlotte Perkins Gilman,Unknown Date,English,Unknown Credits
0133,The Scarlet Letter,Nathaniel Hawthorne,Unknown Date,English,Dartmouth College
0134,Zen and the Art of the Internet,Brendan P. Kehoe,Unknown Date,English,Unknown Credits
0135,The Time Machine,H. G. Wells,Unknown Date,English,Unknown Credits
0136,The War of the Worlds,H. G. Wells,Unknown Date,English,Unknown Credits
0137,The 1990 United States Census [2nd],United States. Bureau of the Census,Unknown Date,English,Unknown Credits
0138,The Jargon File, Version 2.9.10, 01 Jul 1992,Unknown Author,Unknown Date,English,Unknown Credits
0139,Hitchhiker's Guide to the Internet,Ed Krol,Unknown Date,English,Unknown Credits
014,Lincoln's Gettysburg Address,Abraham Lincoln,Unknown Date,English,Unknown Credits
0140,Northwestnet NUSIRG Internet Guide,Jonathan Kochmer,Unknown Date,English,Unknown Credits
0141,The Legend of Sleepy Hollow,Washington Irving,Unknown Date,English,Ilana M. (Kingsley) Newby and Greg Newby
0142,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Unknown Date,English,Unknown Credits
0143,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Unknown Date,English,David Widger
0144,The Song of the Lark,Willa Cather,Unknown Date,English,Judith Boss, Marvin Peterson and David Widger
0145,Anne of Green Gables,L. M. Montgomery,Unknown Date,English,David Widger and Charles Keller
0146,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,Unknown Date,English,Jose Menendez and David Widger
0147,Anne of Avonlea,L. M. Montgomery,Unknown Date,English,An Anonymous Volunteer and David Widger
0148,The 1992 CIA World Factbook,United States. Central Intelligence Agency,Unknown Date,English,Produced by Dr. Gregory B. Newby
0149,Surfing the Internet: An Introduction,Jean Armour Polly,Unknown Date,English,Unknown Credits
015,The United States Constitution,United States,Unknown Date,English,Unknown Credits
0150,Pi to 1,000,000 places,Scott Hemphill,Unknown Date,English,Unknown Credits
0151,Anne of the Island,L. M. Montgomery,Unknown Date,English,Charles Keller and David Widger
0153,Workshop on Electronic Texts: Proceedings, 9-10 June 1992,Library of Congress,Unknown Date,English,Unknown Credits
0154,The Marvelous Land of Oz,L. Frank Baum,Unknown Date,English,Unknown Credits
0155,The Wonderful Wizard of Oz,L. Frank Baum,Unknown Date,English,Unknown Credits
0156,NREN for All: Insurmountable Opportunity,Jean Armour Polly,Unknown Date,English,Unknown Credits
0157,Aladdin and the Magic Lamp,Unknown,Unknown Date,English,Kristin Schultz
0158,Paradise Regained,John Milton,Unknown Date,English,Judy Boss
0159,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,René Descartes,Unknown Date,English,Ilana and Greg Newby
016,Give Me Liberty or Give Me Death,Patrick Henry,Unknown Date,English,Unknown Credits
0160,The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,Unknown Date,English,Conway Yee and David Widger
0161,The Communist Manifesto,Karl Marx,Unknown Date,English,Allen Lutins and Jim Tarzia
0162,A Princess of Mars,Edgar Rice Burroughs,Unknown Date,English,Unknown Credits
0163,The Number "e",Unknown,Unknown Date,English,Unknown Credits
0164,The Gods of Mars,Edgar Rice Burroughs,Unknown Date,English,Unknown Credits
0165,The First 100,000 Prime Numbers,Unknown,Unknown Date,English,Unknown Credits
0166,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,Norman F. Joly,Unknown Date,English,Unknown Credits
0167,The Black Experience in America,Norman Coombs,Unknown Date,English,Unknown Credits
0168,The warlord of Mars,Edgar Rice Burroughs,Unknown Date,English,Judith Boss and Charles Keller
0169,The 32nd Mersenne Prime,David Slowinski,Unknown Date,English,Unknown Credits
017,The Mayflower Compact,Unknown Author,Unknown Date,English,Unknown Credits
0170,What Is Man? and Other Essays,Mark Twain,Unknown Date,English,An Anonymous Volunteer and David Widger
0171,On the Duty of Civil Disobedience,Henry David Thoreau,Unknown Date,English,Sameer Parekh
0172,Thuvia, Maid of Mars,Edgar Rice Burroughs,Unknown Date,English,Judith Boss and Charles Keller
0173,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,Unknown Date,English,Arthur Smith
0174,The Adventures of Tom Sawyer, Complete,Mark Twain,Unknown Date,English,David Widger
0175,E-mail 101,John E. Goodwin,Unknown Date,English,Unknown Credits
0176,Adventures of Huckleberry Finn,Mark Twain,Unknown Date,English,David Widger
0177,The House of the Seven Gables,Nathaniel Hawthorne,Unknown Date,English,Judith Boss. HTML version by Al Haines.
0178,Tarzan of the Apes,Edgar Rice Burroughs,Unknown Date,English,Judith Boss. HTML version by Al Haines.
0179,Terminal Compromise,Winn Schwartau,Unknown Date,English,Unknown Credits
018,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln,Unknown Date,English,Unknown Credits
0180,The Online World,Odd De Presno,Unknown Date,English,Unknown Credits
0181,The Return of Tarzan,Edgar Rice Burroughs,Unknown Date,English,Judy Boss
0182,Ivanhoe: A Romance,Walter Scott,Unknown Date,English,John P. Roberts, Jr. and David Widger
0183,From the Earth to the Moon; and, Round the Moon,Jules Verne,Unknown Date,English,Unknown Credits
0184,Frankenstein; Or, The Modern Prometheus,Mary Wollstonecraft Shelley,Unknown Date,English,Judith Boss, Christy Phillips, Lynn Hanninen and David Meltzer. HTML version by Al Haines.
0185,The Beasts of Tarzan,Edgar Rice Burroughs,Unknown Date,English,Judith Boss
0186,A Connecticut Yankee in King Arthur's Court,Mark Twain,Unknown Date,English,David Widger
0187,The 1993 CIA World Factbook,United States. Central Intelligence Agency,Unknown Date,English,Produced by Dr. Gregory B. Newby
0188,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,Michael Hart,Unknown Date,English,Unknown Credits
0189,North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions,Canada,Unknown Date,English,Unknown Credits
019,Abraham Lincoln's First Inaugural Address,Abraham Lincoln,Unknown Date,English,Unknown Credits
0190,The Son of Tarzan,Edgar Rice Burroughs,Unknown Date,English,Unknown Credits
0191,Tom Sawyer Abroad,Mark Twain,Unknown Date,English,An Anonymous Volunteer and David Widger
0192,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,Unknown Date,English,Judith Boss
0193,Tom Sawyer, Detective,Mark Twain,Unknown Date,English,An Anonymous Volunteer and David Widger
0194,Alexander's Bridge,Willa Cather,Unknown Date,English,An Anonymous Volunteer and David Widger
